Entity,Code,Year,Political regime,time
Malawi,MWI,2024,2,2024
Malaysia,MYS,2024,2,2024
Maldives,MDV,2024,2,2024
Mali,MLI,2024,0,2024
Malta,MLT,2024,2,2024
Mauritania,MRT,2024,1,2024
Mauritius,MUS,2024,1,2024
Mexico,MEX,2024,2,2024
Moldova,MDA,2024,2,2024
Mongolia,MNG,2024,1,2024
Montenegro,MNE,2024,2,2024
Morocco,MAR,2024,0,2024
Mozambique,MOZ,2024,1,2024
Myanmar,MMR,2024,0,2024
Namibia,NAM,2024,2,2024
Nepal,NPL,2024,2,2024
Netherlands,NLD,2024,3,2024
New Zealand,NZL,2024,3,2024
Nicaragua,NIC,2024,1,2024
Niger,NER,2024,0,2024
Nigeria,NGA,2024,2,2024
North Korea,PRK,2024,0,2024
North Macedonia,MKD,2024,2,2024
Norway,NOR,2024,3,2024
Oman,OMN,2024,0,2024
Pakistan,PAK,2024,1,2024
Panama,PAN,2024,2,2024
Papua New Guinea,PNG,2024,1,2024
Paraguay,PRY,2024,2,2024
Peru,PER,2024,2,2024
Philippines,PHL,2024,1,2024
Poland,POL,2024,2,2024
Portugal,PRT,2024,2,2024
Qatar,QAT,2024,0,2024
Romania,ROU,2024,2,2024
Russia,RUS,2024,1,2024
Rwanda,RWA,2024,1,2024
Sao Tome and Principe,STP,2024,2,2024
Saudi Arabia,SAU,2024,0,2024
Senegal,SEN,2024,2,2024
Serbia,SRB,2024,1,2024
Seychelles,SYC,2024,3,2024
Sierra Leone,SLE,2024,1,2024
Singapore,SGP,2024,1,2024
Slovakia,SVK,2024,2,2024
Slovenia,SVN,2024,2,2024
Solomon Islands,SLB,2024,2,2024
Somalia,SOM,2024,0,2024
South Africa,ZAF,2024,3,2024
South Korea,KOR,2024,2,2024
South Sudan,SSD,2024,0,2024
Spain,ESP,2024,3,2024
Sri Lanka,LKA,2024,2,2024
Sudan,SDN,2024,0,2024
Suriname,SUR,2024,2,2024
Sweden,SWE,2024,3,2024
Switzerland,CHE,2024,3,2024
Syria,SYR,2024,0,2024
Taiwan,TWN,2024,3,2024
Tajikistan,TJK,2024,1,2024
Tanzania,TZA,2024,1,2024
Thailand,THA,2024,1,2024
Togo,TGO,2024,1,2024
Trinidad and Tobago,TTO,2024,2,2024
Tunisia,TUN,2024,1,2024
Turkey,TUR,2024,1,2024
Turkmenistan,TKM,2024,1,2024
Uganda,UGA,2024,1,2024
Ukraine,UKR,2024,1,2024
United Arab Emirates,ARE,2024,0,2024
United Kingdom,GBR,2024,2,2024
United States,USA,2024,3,2024
Uruguay,URY,2024,3,2024
Uzbekistan,UZB,2024,1,2024
Vanuatu,VUT,2024,2,2024
Venezuela,VEN,2024,1,2024
Vietnam,VNM,2024,0,2024
Yemen,YEM,2024,0,2024
Zambia,ZMB,2024,2,2024
Zimbabwe,ZWE,2024,1,2024
